,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
253,VIX,estimate_price_high,9023,7890,5763,6996,10271,10148,13055,19789,12138,22533,12287,12117,9369,6928,7399,5082,14858,23819,34528,66838,33574,47761,43203,59908,37844,26299
254,BMI,estimate_price_low,21167,20020,30215,22932,22314,25966,19289,26135,23381,18131,17926,16364,18219,21359,24593,18115,18732,20878,21194,25675,26267,27514,33518,30020,27126,27777
255,BMI,estimate_price_high,31751,30030,45322,34398,33470,38948,28934,39203,35072,27196,26888,24546,27329,32038,36891,27173,28099,31317,31790,38512,39400,41272,50278,45030,40689,41666
256,TDM,estimate_price_low,33862,20480,30049,21263,19155,25319,33888,29601,24693,19892,22439,22163,25595,25329,28383,19994,22164,19254,16477,34367,23954,23551,36944,22803,31808,32778
257,TDM,estimate_price_high,50793,30720,45074,31895,28733,37978,50832,44401,37038,29838,33657,33244,38392,37993,42574,29992,33246,28881,24716,51550,35932,35327,55416,34204,47711,49168
258,MIG,estimate_price_low,0,0,11200,10925,10815,10331,7927,9757,14934,11373,23036,15787,14230,13572,11096,9135,8111,8281,14949,13623,16298,16930,17746,21879,16409,20079
259,MIG,estimate_price_high,0,0,16800,16388,16222,15496,11889,14635,22401,17060,34554,23680,21345,20358,16643,13702,12167,12420,22424,20434,24448,25395,26618,32818,24614,30118
260,TTF,estimate_price_low,69713,-2350,-1241,-1391,4596,30433,29480,761,765,2647,687,1870,-5974,-22927,-4701,-4001,2231,2565,4259,4579,4913,-4481,-4583,5800,1279,2678
261,TTF,estimate_price_high,104569,-3525,-1862,-2087,6894,45649,44220,1142,1148,3970,1031,2805,-8962,-34390,-7051,-6002,3347,3847,6389,6868,7370,-6722,-6874,8700,1919,4017
262,HTN,estimate_price_low,0,0,0,0,0,0,0,0,22360,12881,18864,14703,16232,13536,20655,31859,16644,45849,22300,23230,42738,18437,54385,32615,32706,21950
263,HTN,estimate_price_high,0,0,0,0,0,0,0,0,33540,19321,28296,22055,24349,20304,30982,47787,24966,68773,33450,34844,64107,27655,81577,48922,49059,32924
264,HAH,estimate_price_low,36121,28951,27396,28332,26717,28569,26062,19639,15297,11918,11848,10646,10945,10314,9467,9222,9461,9817,13865,22492,31173,57457,99214,104949,100653,78964
265,HAH,estimate_price_high,54182,43426,41093,42498,40075,42855,39092,29459,22945,17878,17772,15969,16418,15470,14201,13833,14192,14726,20797,33739,46759,86186,148821,157424,150979,118446
266,DPG,estimate_price_low,0,80000,0,0,0,97225,104748,70582,69028,44665,88765,42755,34407,22931,136561,34803,31369,23212,18272,35271,38282,55071,44705,51516,47762,40872
267,DPG,estimate_price_high,0,120000,0,0,0,145838,157122,105873,103542,66998,133147,64133,51611,34396,204840,52204,47055,34818,27408,52908,57424,82606,67057,77275,71643,61308
268,DRC,estimate_price_low,34573,32481,29224,24742,18132,16050,12498,12344,21363,20729,19886,16526,20896,29474,29702,22936,15078,14385,20328,23791,30626,22399,23263,24010,22439,29039
269,DRC,estimate_price_high,51860,48721,43836,37113,27199,24074,18746,18517,32044,31094,29829,24789,31344,44211,44554,34404,22618,21578,30492,35687,45939,33598,34895,36014,33659,43560
270,TVS,estimate_price_low,9632,7591,9345,13410,13389,9305,12022,10709,8604,12987,10714,10158,12467,9041,10931,6954,11394,10809,16890,28626,22962,24978,29808,26596,19322,20405
